Index,Keyword,Tweets
0,frozen 2,Our vehicles roads designed snow I n't think native olanst animals going adapt
1,frozen 2,Our vehicles roads designed snow I n't think native olanst animals going adapt
2,frozen 2,waiting
3,frozen 2,Our vehicles roads designed snow I n't think native olanst animals going adapt
4,frozen 2,`` From The Irishman Frozen male characters working issues feelings stories mascu
5,frozen 2,Our vehicles roads designed snow I n't think native olanst animals going adapt
6,frozen 2,FROZEN w/ lyrics whole ass mood
7,frozen 2,Our vehicles roads designed snow I n't think native olanst animals going adapt
8,frozen 2,Our vehicles roads designed snow I n't think native olanst animals going adapt
9,frozen 2,Real Fruit Wine Slushies| Real Fruit WIne Slushies Fresh Berries
