Index,Keyword,Tweets
0,Caitlyn,Elias Caitlyn Jenner joke
1,Caitlyn,Note offer valid Caitlyn Jenner
2,Caitlyn,Help Too much I enjoy
3,Caitlyn,Oof lol
4,Caitlyn,Obviously something wrong married
5,Caitlyn,And
6,Caitlyn,logan lerman resurfacing last minute decade remind us started white boy
7,Caitlyn,How could I
8,Caitlyn,You liked
9,Caitlyn,carry lady
10,Caitlyn,I photoshoot downtown Sanford UPS delivery man kindly interrupted asked picture THIS IS
11,Caitlyn,someone messages blocks get chance respond ... ok den
12,Caitlyn,When coworker says Caitlyn Jenner MILF ...
13,Caitlyn,anyone wan na come eat cereal
14,Caitlyn,It 's You 're Years Old This YOUR BOP
15,Caitlyn,Do n't need
16,Caitlyn,When people reply tweets dms instead time line Please stop put big boy/girl pants
17,Caitlyn,I think know real player
18,Caitlyn,Smooch
19,Caitlyn,I think meant ** BUT PLAY ON PLAYA
20,Caitlyn,Caitlyn Briley Just stepped dog poop ... p.s new socks RUINED MOOD Upset
21,Caitlyn,Elias Caitlyn Jenner joke
22,Caitlyn,As I look back I say wtf I thinking choices men
23,Caitlyn,Glad happen bud
24,Caitlyn,Elias told Revival make big change like Caitlyn Jenner
25,Caitlyn,Caitlyn mother fucking undercut shaved bottom head lmfao
26,Caitlyn,block typing ... stfu
27,Caitlyn,decent beautiful
28,Caitlyn,I HAVE A GREAT NEED
29,Caitlyn,Caitlyn Jenner says Kardashians know I A Celeb stayed silent social
30,Caitlyn,idk 's reverse psychology horrible reviews tempted go see Cats
31,Caitlyn,mad
32,Caitlyn,Sorry I forgot Aaron Mate Michael Tracy Elizabeth Voss Caitlyn Johnstone ... lot
33,Caitlyn,people really getting mad cause elias made caitlyn jenner joke yall soft hell lmao
34,Caitlyn,Thanks baby Love ya
35,Caitlyn,homo cancelled everyone little homo treat
36,Caitlyn,THIS MIGHT BE THE COOLEDT THING I HAVE EVER DONE YOU GUYS
37,Caitlyn,Learn love It may take time deserve
38,Caitlyn,ME TOO
39,Caitlyn,I think earliest I 've ever finished christmas shopping
40,Caitlyn,I really think I looked like surprising
41,Caitlyn,sorry piece twittet acting
42,Caitlyn,yes
43,Caitlyn,Lem introduce Caitlyn
44,Caitlyn,Some
45,Caitlyn,I literally watch covers everyday WTF
46,Caitlyn,Elias Caitlyn Jenner joke
47,Caitlyn,He spoken
48,Caitlyn,I walking child ran straight instead normal response I quite loudly said gross
49,Caitlyn,Elias The Revival going make big change kinda like Caitlyn Jenner
