Index,Keyword,Tweets
0,Yasuo,Hi people I finished True damage fan art I hope like like please RT
1,Yasuo,I starting love zed zed Yasuo
2,Yasuo,Merry Metal Christmas Wishing happy Rob Glenn Ian Richie Scott
3,Yasuo,Champion Update Yasuo
4,Yasuo,Matchy~ Matchy~
5,Yasuo,quick Yasuo Free time christmas break really gettin
6,Yasuo,Shout outs /12/2 yasuo though 's like almost
7,Yasuo,/34/12 combined score teams yasuo last couple games ... Idk I n't Dodge people pick
8,Yasuo,quick Yasuo Free time christmas break really gettin
9,Yasuo,quick Yasuo Free time christmas break really gettin
10,Yasuo,
11,Yasuo,quick Yasuo Free time christmas break really gettin
12,Yasuo,odyssey yasuo
13,Yasuo,'s silver yasuo
14,Yasuo,quick Yasuo Free time christmas break really gettin
15,Yasuo,quick Yasuo Free time christmas break really gettin
16,Yasuo,quick Yasuo Free time christmas break really gettin
17,Yasuo,quick Yasuo Free time christmas break really gettin
18,Yasuo,quick Yasuo Free time christmas break really gettin
19,Yasuo,quick Yasuo Free time christmas break really gettin
20,Yasuo,quick Yasuo Free time christmas break really gettin
21,Yasuo,quick Yasuo Free time christmas break really gettin
22,Yasuo,quick Yasuo Free time christmas break really gettin
23,Yasuo,Zed yasuo made straights tool oppress gaymers
24,Yasuo,Family moment
25,Yasuo,raka Blitzcrank/Thresh/Yasuo lee sin lee sin Annie tank top rmundo MasterYi
26,Yasuo,quick Yasuo Free time christmas break really gettin
27,Yasuo,quick Yasuo Free time christmas break really gettin
28,Yasuo,yasuo crying night
29,Yasuo,Yasuo used W
30,Yasuo,quick Yasuo Free time christmas break really gettin
31,Yasuo,quick Yasuo Free time christmas break really gettin
32,Yasuo,The family Feeder 1/2
33,Yasuo,quick Yasuo Free time christmas break really gettin
34,Yasuo,Girls power
35,Yasuo,quick Yasuo Free time christmas break really gettin
36,Yasuo,The family Feeder 2/2
37,Yasuo,quick Yasuo Free time christmas break really gettin
38,Yasuo,quick Yasuo Free time christmas break really gettin
39,Yasuo,quick Yasuo Free time christmas break really gettin
40,Yasuo,rerolled Bewitching Janna Odyssey Yasuo Pajama Star Guardian Lux get Blood Moon Talon okay
41,Yasuo,quick Yasuo Free time christmas break really gettin
42,Yasuo,quick Yasuo Free time christmas break really gettin
43,Yasuo,OH WAIT THAT YASUO IS YOU YOU DIRTY FUCKER
44,Yasuo,Im good yasuo
45,Yasuo,quick Yasuo Free time christmas break really gettin
46,Yasuo,quick Yasuo Free time christmas break really gettin
47,Yasuo,Yasuo cries Yasuo useless
48,Yasuo,quick Yasuo Free time christmas break really gettin
49,Yasuo,quick Yasuo Free time christmas break really gettin
