Index,Keyword,Tweets
0,Master Yi,: Daily Life of Earth Master Yi
1,Master Yi,: Daily Life of Earth Master Yi
2,Master Yi,: Daily Life of Earth Master Yi
3,Master Yi,: Daily Life of Earth Master Yi
4,Master Yi,: Daily Life of Earth Master Yi
5,Master Yi,: Daily Life of Earth Master Yi
6,Master Yi,: Daily Life of Earth Master Yi
7,Master Yi,: Daily Life of Earth Master Yi
8,Master Yi,: Daily Life of Earth Master Yi
9,Master Yi,: Daily Life of Earth Master Yi
10,Master Yi,: Daily Life of Earth Master Yi
11,Master Yi,: Daily Life of Earth Master Yi
12,Master Yi,: Daily Life of Earth Master Yi
13,Master Yi,: Daily Life of Earth Master Yi
14,Master Yi,: Daily Life of Earth Master Yi
15,Master Yi,: Daily Life of Earth Master Yi
16,Master Yi,: Daily Life of Earth Master Yi
17,Master Yi,: Daily Life of Earth Master Yi
18,Master Yi,: Daily Life of Earth Master Yi
19,Master Yi,"Favorite champion: Yuumi Champion I find attractive: Kayn, Rakan, Lucian, Xayah, Senna First main: Yuumi Current mâ¦"
20,Master Yi,: Daily Life of Earth Master Yi
21,Master Yi,: Daily Life of Earth Master Yi
22,Master Yi,: Daily Life of Earth Master Yi
23,Master Yi,: Daily Life of Earth Master Yi
24,Master Yi,: Daily Life of Earth Master Yi
25,Master Yi,: Daily Life of Earth Master Yi
26,Master Yi,: Daily Life of Earth Master Yi
27,Master Yi,: Daily Life of Earth Master Yi
28,Master Yi,: Daily Life of Earth Master Yi
29,Master Yi,: Daily Life of Earth Master Yi
30,Master Yi,: Daily Life of Earth Master Yi
31,Master Yi,: Daily Life of Earth Master Yi
32,Master Yi,this scene in Yi Yi from :43:12 through :50:41 is legitimately some of the most beautifulâ¦
33,Master Yi,: Daily Life of Earth Master Yi
34,Master Yi,underappreciated mxtx characters besides nhs: a-qing: literally saved yi city (and the arc would be boring as fuckâ¦
35,Master Yi,: Daily Life of Earth Master Yi
36,Master Yi,"W: ""Master Yi, you kill very fast, and are honorable."""
37,Master Yi,: Daily Life of Earth Master Yi
38,Master Yi,Yall still lose tho because everyone fed the Master Yi from Gold II
39,Master Yi,LORD WIND MASTER! SHI QING XUAN OMG HNGGGGGH WHERE IS MING YI BUT ANYWAY I AM GOING BALLISTIC FFFFF MY BABEY ð¥º
