Index,Keyword,Tweets
0,Master Yi,"Favorite champion: Yuumi Champion I find attractive: Kayn, Rakan, Lucian, Xayah, Senna First main: Yuumi Current mâ¦"
1,Master Yi,this scene in Yi Yi from :43:12 through :50:41 is legitimately some of the most beautifulâ¦
2,Master Yi,Yall still lose tho because everyone fed the Master Yi from Gold II
3,Master Yi,Master yi players make me wanna shoot something
4,Master Yi,season is master yi support
5,Master Yi,": Today I presented my Master thesis ""SuperGlue: Learning Feature Matching with Graph Neural Networks"""
6,Master Yi,report yi fking inted my master promos last day of season such degen
7,Master Yi,"oh, master yi again"
8,Master Yi,You're a beast level Master Yi
9,Master Yi,"YI YI, the final film from Taiwanese master Edward Yang (TAIPEI STORY), is a touching story about family bonds acroâ¦"
10,Master Yi,: This is another tweet remind that master Yi is a pointless champ. Heâs not good for high Elo but he is so brainâ¦
11,Master Yi,This is another tweet remind that master Yi is a pointless champ. Heâs not good for high Elo but he is sâ¦
12,Master Yi,Day : Master Yi! Action lines! Gradient! FX! Next up: Nunu ---
13,Master Yi,"Rha yi track ke le, Master KG doing his thing pha... wanetwa mos"
14,Master Yi,"""me bad me go tweet about bad master yi"""
15,Master Yi,Master Yi mid. That is all.
16,Master Yi,"Fuck the man who invented Master Yi; . Just Fuck you, good sir. That is all."
17,Master Yi,"Rammus Jungle Season Gameplay - Gold IV Against Master Yi - League of Legends, watch now at:â¦"
18,Master Yi,Day : Kayle and Morgana Sucks for me doing a paired one The workload jeez Next up: Master Yi! ---â¦
19,Master Yi,I have been trying it out a little. Playing Jungle Master Yi mostly
20,Master Yi,But it seemed our Master Yi really wanted to win this game
21,Master Yi,Cloud soul % ms for seconds omg master yi gonna zoom
22,Master Yi,bro what do u mean its not like master yi has been s tier for like patches in a row now maybe we should buff his items more?
23,Master Yi,Did my dude really just copy master yi to e-date
24,Master Yi,"Proud of your master, ?"
25,Master Yi,Iâll be home in time for clash LFT -Challenger jungler playing on gold account -No champ pool (mainly master yiâ¦
26,Master Yi,randomly ended up helping become the new master yi hokage (starts at :56:00)
27,Master Yi,Im always banning Master Yi
28,Master Yi,"Only Silver II, but rogue comps still look pretty good to me. Got first with health. Ended up swappingâ¦"
29,Master Yi,i almost got a penta as caitlyn but the master yi took it im depression
30,Master Yi,They say writers write what they know. Yi! King is Horror master.
31,Master Yi,Hey Red I was the master yi that was right clicking you on PBE the other day do you have any words for me
32,Master Yi,Better abuse Master Yi to Gold in preseason before Riot realizes he is broken.
33,Master Yi,"Master yi is so fun to play end game, especially against squishy mages!"
34,Master Yi,Great choice of guide site. They have it all from int sion to ap master yi adc
35,Master Yi,"Not thinking ADC is riots favorite lane is actually delusional, Jax is only as good as the player same as master yiâ¦"
36,Master Yi,Wheres master yi
