Index,Keyword,Tweets
0,mordekaiser,: A little something I created within minutes for the Mordekaiser mains discord.
1,mordekaiser,: A little something I created within minutes for the Mordekaiser mains discord.
2,mordekaiser,: been on an artblock but i drew mordekaiser today
3,mordekaiser,: been on an artblock but i drew mordekaiser today
4,mordekaiser,: been on an artblock but i drew mordekaiser today
5,mordekaiser,: been on an artblock but i drew mordekaiser today
6,mordekaiser,: been on an artblock but i drew mordekaiser today
7,mordekaiser,: A little something I created within minutes for the Mordekaiser mains discord.
8,mordekaiser,: been on an artblock but i drew mordekaiser today
9,mordekaiser,: A little something I created within minutes for the Mordekaiser mains discord.
10,mordekaiser,: been on an artblock but i drew mordekaiser today
11,mordekaiser,: been on an artblock but i drew mordekaiser today
12,mordekaiser,: Here you go guys Have Mordekaiser for now~
13,mordekaiser,: been on an artblock but i drew mordekaiser today
14,mordekaiser,: been on an artblock but i drew mordekaiser today
15,mordekaiser,: been on an artblock but i drew mordekaiser today
16,mordekaiser,: Here you go guys Have Mordekaiser for now~
17,mordekaiser,: been on an artblock but i drew mordekaiser today
18,mordekaiser,: been on an artblock but i drew mordekaiser today
19,mordekaiser,: been on an artblock but i drew mordekaiser today
20,mordekaiser,: been on an artblock but i drew mordekaiser today
21,mordekaiser,: been on an artblock but i drew mordekaiser today
22,mordekaiser,: been on an artblock but i drew mordekaiser today
23,mordekaiser,: been on an artblock but i drew mordekaiser today
24,mordekaiser,: been on an artblock but i drew mordekaiser today
25,mordekaiser,: been on an artblock but i drew mordekaiser today
26,mordekaiser,: been on an artblock but i drew mordekaiser today
27,mordekaiser,: been on an artblock but i drew mordekaiser today
28,mordekaiser,In D&amp my character Mordekaiser just solo fought a swarm of -50 feral zombies and killed them all without being touched!
29,mordekaiser,: been on an artblock but i drew mordekaiser today
30,mordekaiser,": Mordekaiser sketches, warmups. Why shadow isles boys gotta be so complicated?"
31,mordekaiser,: been on an artblock but i drew mordekaiser today
32,mordekaiser,: A little something I created within minutes for the Mordekaiser mains discord.
33,mordekaiser,: A little something I created within minutes for the Mordekaiser mains discord.
34,mordekaiser,: A little something I created within minutes for the Mordekaiser mains discord.
35,mordekaiser,: been on an artblock but i drew mordekaiser today
36,mordekaiser,A little something I created within minutes for the Mordekaiser mains discord.
37,mordekaiser,: been on an artblock but i drew mordekaiser today
38,mordekaiser,: been on an artblock but i drew mordekaiser today
39,mordekaiser,: been on an artblock but i drew mordekaiser today
40,mordekaiser,: been on an artblock but i drew mordekaiser today
41,mordekaiser,: been on an artblock but i drew mordekaiser today
42,mordekaiser,: been on an artblock but i drew mordekaiser today
43,mordekaiser,: been on an artblock but i drew mordekaiser today
44,mordekaiser,: been on an artblock but i drew mordekaiser today
45,mordekaiser,: been on an artblock but i drew mordekaiser today
46,mordekaiser,: been on an artblock but i drew mordekaiser today
47,mordekaiser,: been on an artblock but i drew mordekaiser today
48,mordekaiser,: been on an artblock but i drew mordekaiser today
49,mordekaiser,: been on an artblock but i drew mordekaiser today
50,mordekaiser,: been on an artblock but i drew mordekaiser today
51,mordekaiser,: been on an artblock but i drew mordekaiser today
52,mordekaiser,: been on an artblock but i drew mordekaiser today
53,mordekaiser,Mordekaiser is such a husbando
54,mordekaiser,: been on an artblock but i drew mordekaiser today
55,mordekaiser,: been on an artblock but i drew mordekaiser today
56,mordekaiser,: been on an artblock but i drew mordekaiser today
57,mordekaiser,: been on an artblock but i drew mordekaiser today
58,mordekaiser,: been on an artblock but i drew mordekaiser today
59,mordekaiser,: been on an artblock but i drew mordekaiser today
60,mordekaiser,If you want a real tank better than mundo try mordekaiser...hes quickly becoming my nd love along with singed.
61,mordekaiser,: been on an artblock but i drew mordekaiser today
62,mordekaiser,: been on an artblock but i drew mordekaiser today
63,mordekaiser,: been on an artblock but i drew mordekaiser today
64,mordekaiser,: been on an artblock but i drew mordekaiser today
65,mordekaiser,: been on an artblock but i drew mordekaiser today
66,mordekaiser,: been on an artblock but i drew mordekaiser today
67,mordekaiser,: been on an artblock but i drew mordekaiser today
68,mordekaiser,Is it intentional that Jarvan IV flag can't be placed in Mordekaiser's shadow realm?
69,mordekaiser,: been on an artblock but i drew mordekaiser today
70,mordekaiser,: been on an artblock but i drew mordekaiser today
71,mordekaiser,: been on an artblock but i drew mordekaiser today
72,mordekaiser,: been on an artblock but i drew mordekaiser today
73,mordekaiser,: been on an artblock but i drew mordekaiser today
74,mordekaiser,: been on an artblock but i drew mordekaiser today
75,mordekaiser,: been on an artblock but i drew mordekaiser today
76,mordekaiser,: been on an artblock but i drew mordekaiser today
77,mordekaiser,: been on an artblock but i drew mordekaiser today
78,mordekaiser,: been on an artblock but i drew mordekaiser today
79,mordekaiser,: been on an artblock but i drew mordekaiser today
80,mordekaiser,: been on an artblock but i drew mordekaiser today
81,mordekaiser,: been on an artblock but i drew mordekaiser today
82,mordekaiser,: been on an artblock but i drew mordekaiser today
83,mordekaiser,: been on an artblock but i drew mordekaiser today
84,mordekaiser,: been on an artblock but i drew mordekaiser today
85,mordekaiser,: been on an artblock but i drew mordekaiser today
86,mordekaiser,: been on an artblock but i drew mordekaiser today
87,mordekaiser,: been on an artblock but i drew mordekaiser today
88,mordekaiser,: been on an artblock but i drew mordekaiser today
89,mordekaiser,: been on an artblock but i drew mordekaiser today
90,mordekaiser,: been on an artblock but i drew mordekaiser today
91,mordekaiser,: been on an artblock but i drew mordekaiser today
92,mordekaiser,: been on an artblock but i drew mordekaiser today
93,mordekaiser,: been on an artblock but i drew mordekaiser today
94,mordekaiser,: been on an artblock but i drew mordekaiser today
95,mordekaiser,: been on an artblock but i drew mordekaiser today
96,mordekaiser,: been on an artblock but i drew mordekaiser today
97,mordekaiser,: been on an artblock but i drew mordekaiser today
98,mordekaiser,: been on an artblock but i drew mordekaiser today
99,mordekaiser,: been on an artblock but i drew mordekaiser today
100,mordekaiser,: been on an artblock but i drew mordekaiser today
101,mordekaiser,been on an artblock but i drew mordekaiser today
102,mordekaiser,What are ur thoughts on old mordekaiser
103,mordekaiser,: &gt;Be Me &gt;Already got a big art project &gt;&gtecide to start a new one anyways.... Someone please slap me htâ¦
104,mordekaiser,: &gt;Be Me &gt;Already got a big art project &gt;&gtecide to start a new one anyways.... Someone please slap me htâ¦
105,mordekaiser,Mordekaiser is my new best friend.
106,mordekaiser,": Can we just take a moment to APPRECIATE just how cool Riot made Mitna Rachnun? Like, a lot of ghastly underworlds lookâ¦"
107,mordekaiser,: Aatrox: Uses a living demon blade connected to his own body Illaoi: Uses the powers of an old god kraken monster Mordekâ¦
108,mordekaiser,": Can we just take a moment to APPRECIATE just how cool Riot made Mitna Rachnun? Like, a lot of ghastly underworlds lookâ¦"
109,mordekaiser,"Can we just take a moment to APPRECIATE just how cool Riot made Mitna Rachnun? Like, a lot of ghastly underworldsâ¦"
110,mordekaiser,: Drew some more Dragon Knight cause he's just heckin' neat.
111,mordekaiser,That requires everyone to bend over backwards and tiptoe over swamps of self imposed rules and rhetoâ¦
112,mordekaiser,: &gt;Be Me &gt;Already got a big art project &gt;&gtecide to start a new one anyways.... Someone please slap me htâ¦
113,mordekaiser,: &gt;Be Me &gt;Already got a big art project &gt;&gtecide to start a new one anyways.... Someone please slap me htâ¦
114,mordekaiser,&gt;Be Me &gt;Already got a big art project &gt;&gtecide to start a new one anyways.... Someone please slap me
115,mordekaiser,WHERE THE FUCK IS THE MORDEKAISER NERF AT?????????????????????????
116,mordekaiser,"But they turned Mordekaiser, Aatrox, and Yorick into totally different champs. So I have to play Teemo Neeko is fun to"
117,mordekaiser,Very fucking good shit brother including pre rework mordekaiser. Very Chad champion. can confirm
118,mordekaiser,Why is there old and new mordekaiser lol
119,mordekaiser,: Drew some more Dragon Knight cause he's just heckin' neat.
120,mordekaiser,Drew some more Dragon Knight cause he's just heckin' neat.
121,mordekaiser,My brother wanted me to curse you for designing Mordekaiser.
122,mordekaiser,Olaf Nautilus Mordekaiser is holy trinity of mechanical champions with really nice hitboxes and very adaptive buildpaths
123,mordekaiser,: mfs be playing mordekaiser but wont stop telling MORE of DA LIES to HER
124,mordekaiser,League players think Mordekaiser deserves a scarf ï¼ Dot Esports
125,mordekaiser,: Aatrox: Uses a living demon blade connected to his own body Illaoi: Uses the powers of an old god kraken monster Mordekâ¦
126,mordekaiser,not banning mordekaiser is literally trolling
127,mordekaiser,": ""How Cute... Mortals!"" -New Mordekaiser â¦"
128,mordekaiser,": You know what would be sick? Chromas for Dragon Knight Mordekaiser. Like come on, every other dragon world skin got tâ¦"
129,mordekaiser,: Aatrox: Uses a living demon blade connected to his own body Illaoi: Uses the powers of an old god kraken monster Mordekâ¦
130,mordekaiser,: Aatrox: Uses a living demon blade connected to his own body Illaoi: Uses the powers of an old god kraken monster Mordekâ¦
131,mordekaiser,: Aatrox: Uses a living demon blade connected to his own body Illaoi: Uses the powers of an old god kraken monster Mordekâ¦
132,mordekaiser,Aatrox: Uses a living demon blade connected to his own body Illaoi: Uses the powers of an old god kraken monsterâ¦
133,mordekaiser,: Here you go guys Have Mordekaiser for now~
134,mordekaiser,meanwhile mordekaiser just does morde things with best mid/top winrate in high elo kek
135,mordekaiser,: mfs be playing mordekaiser but wont stop telling MORE of DA LIES to HER
136,mordekaiser,: Couldnât sleep so have a doodle of Mordekaiser~
137,mordekaiser,: mfs be playing mordekaiser but wont stop telling MORE of DA LIES to HER
138,mordekaiser,mfs be playing mordekaiser but wont stop telling MORE of DA LIES to HER
139,mordekaiser,: Here you go guys Have Mordekaiser for now~
140,mordekaiser,: Here you go guys Have Mordekaiser for now~
141,mordekaiser,: Here you go guys Have Mordekaiser for now~
142,mordekaiser,Mordekaiser is a high skill cap champion
143,mordekaiser,: Here you go guys Have Mordekaiser for now~
144,mordekaiser,: Attention fans. Have you seen the Rework? He has only been played twice in Season soâ¦
145,mordekaiser,": ""How Cute... Mortals!"" -New Mordekaiser â¦"
146,mordekaiser,": ""How Cute... Mortals!"" -New Mordekaiser â¦"
147,mordekaiser,: Here you go guys Have Mordekaiser for now~
148,mordekaiser,Thoughts on Mordekaiser at this time?
149,mordekaiser,": You know what would be sick? Chromas for Dragon Knight Mordekaiser. Like come on, every other dragon world skin got tâ¦"
150,mordekaiser,: Here you go guys Have Mordekaiser for now~
151,mordekaiser,YouTube ï¼ Gragas vs Mordekaiser || My skill level is INCREASING ï¼ Woody Fruity
152,mordekaiser,: Here you go guys Have Mordekaiser for now~
153,mordekaiser,Kinda like Mordekaiser was he's in need of a rework to fix his bugs as there are quite a few. He's probaâ¦
154,mordekaiser,: Here you go guys Have Mordekaiser for now~
155,mordekaiser,: Here you go guys Have Mordekaiser for now~
156,mordekaiser,: Here you go guys Have Mordekaiser for now~
157,mordekaiser,: Here you go guys Have Mordekaiser for now~
158,mordekaiser,: Here you go guys Have Mordekaiser for now~
159,mordekaiser,: Here you go guys Have Mordekaiser for now~
160,mordekaiser,: Couldnât sleep so have a doodle of Mordekaiser~
161,mordekaiser,: Here you go guys Have Mordekaiser for now~
162,mordekaiser,: Here you go guys Have Mordekaiser for now~
163,mordekaiser,": You know what would be sick? Chromas for Dragon Knight Mordekaiser. Like come on, every other dragon world skin got tâ¦"
164,mordekaiser,: Here you go guys Have Mordekaiser for now~
165,mordekaiser,: Here you go guys Have Mordekaiser for now~
166,mordekaiser,clown on me for playing league but this new champ is the most fun in this shit game ive had since mordekaiser got bâ¦
167,mordekaiser,": You know what would be sick? Chromas for Dragon Knight Mordekaiser. Like come on, every other dragon world skin got tâ¦"
168,mordekaiser,": Hey. I dunno how many of you follow me because of my dedication to the champion Mordekaiser, but those of us willing toâ¦"
169,mordekaiser,: Here you go guys Have Mordekaiser for now~
170,mordekaiser,": You know what would be sick? Chromas for Dragon Knight Mordekaiser. Like come on, every other dragon world skin got tâ¦"
171,mordekaiser,: Here you go guys Have Mordekaiser for now~
172,mordekaiser,": You know what would be sick? Chromas for Dragon Knight Mordekaiser. Like come on, every other dragon world skin got tâ¦"
173,mordekaiser,"You know what would be sick? Chromas for Dragon Knight Mordekaiser. Like come on, every other dragon world skin gâ¦"
174,mordekaiser,: Here you go guys Have Mordekaiser for now~
175,mordekaiser,I tapped Mordekaiser ass
176,mordekaiser,: Here you go guys Have Mordekaiser for now~
177,mordekaiser,: Here you go guys Have Mordekaiser for now~
178,mordekaiser,: Here you go guys Have Mordekaiser for now~
179,mordekaiser,: Here you go guys Have Mordekaiser for now~
180,mordekaiser,Here you go guys Have Mordekaiser for now~
181,mordekaiser,"Hey. I dunno how many of you follow me because of my dedication to the champion Mordekaiser, but those of us willinâ¦"
182,mordekaiser,"They murdered kench, they nerfed irelia to the ground, they made this ridiculous champion named mordekaiser, they'vâ¦"
183,mordekaiser,Rage mode mordekaiser SPOILERS: next video involves: too ham support and Drop a follow!!! â¦
184,mordekaiser,: Mordekaiser lore finale leaked.
185,mordekaiser,mordekaiser just carried us
186,mordekaiser,Snowball cancels shadow realm SPOILERS: next video involves: rage mode mordekaiser support and Drop a follow!!!â¦
187,mordekaiser,: Mordekaiser lore finale leaked.
188,mordekaiser,: Mordekaiser lore finale leaked.
189,mordekaiser,League just hasn't been the same since they removed Mordekaiser
190,mordekaiser,I think thatâs dragon knight mordekaiser
191,mordekaiser,: Mordekaiser lore finale leaked.
192,mordekaiser,: Mordekaiser lore finale leaked.
193,mordekaiser,: Mordekaiser lore finale leaked.
194,mordekaiser,: Mordekaiser lore finale leaked.
195,mordekaiser,: Mordekaiser lore finale leaked.
196,mordekaiser,Mordekaiser lore finale leaked.
197,mordekaiser,Confusing a Mordekaiser and denying his Ult as Warwick feeling like:
198,mordekaiser,THANK YOU RIOT I FINALLY GOT DRAGON KNIGHT MORDEKAISER &lt;333 SO HAPPY ;V; now I have all of morde's skins~
199,mordekaiser,when will gut mordekaiser. I think patches of being extremely strong is a bit too long. And now we gotâ¦
200,mordekaiser,"SILVER BABY! WORKING OUT WAY UP THE LADDER! THANK YOU TO MY MORDEKAISER, KATARINA, TRISTANA, BARD, AND MOST IMPORâ¦"
201,mordekaiser,"Not thinking ADC is riots favorite lane is actually delusional, Jax is only as good as the player same as master yiâ¦"
202,mordekaiser,When Mordekaiser ults
203,mordekaiser,": Why is a champion that requires no hands, no eyes and zero skill like Mordekaiser so overpowered? Master+ 6% win ratioâ¦"
